Date,Search Trends 
6/1/2016 0:00,970
6/1/2016 1:00,920
6/1/2016 2:00,760
6/1/2016 3:00,600
6/1/2016 4:00,380
6/1/2016 5:00,200
6/1/2016 6:00,100
6/1/2016 7:00,50
6/1/2016 8:00,50
6/1/2016 9:00,60
6/1/2016 10:00,120
6/1/2016 11:00,220
6/1/2016 12:00,330
6/1/2016 13:00,400
6/1/2016 14:00,450
6/1/2016 15:00,480
6/1/2016 16:00,510
6/1/2016 17:00,520
6/1/2016 18:00,540
6/1/2016 19:00,560
6/1/2016 20:00,600
6/1/2016 21:00,710
6/1/2016 22:00,880
6/1/2016 23:00,940
6/2/2016 0:00,960
6/2/2016 1:00,890
6/2/2016 2:00,760
6/2/2016 3:00,600
6/2/2016 4:00,380
6/2/2016 5:00,200
6/2/2016 6:00,100
6/2/2016 7:00,50
6/2/2016 8:00,50
6/2/2016 9:00,70
6/2/2016 10:00,140
6/2/2016 11:00,240
6/2/2016 12:00,350
6/2/2016 13:00,420
6/2/2016 14:00,470
6/2/2016 15:00,510
6/2/2016 16:00,530
6/2/2016 17:00,540
6/2/2016 18:00,560
6/2/2016 19:00,580
6/2/2016 20:00,630
6/2/2016 21:00,730
6/2/2016 22:00,870
6/2/2016 23:00,980
6/3/2016 0:00,980
6/3/2016 1:00,900
6/3/2016 2:00,790
6/3/2016 3:00,610
6/3/2016 4:00,400
6/3/2016 5:00,200
6/3/2016 6:00,100
6/3/2016 7:00,60
6/3/2016 8:00,50
6/3/2016 9:00,70
6/3/2016 10:00,140
6/3/2016 11:00,240
6/3/2016 12:00,350
6/3/2016 13:00,420
6/3/2016 14:00,480
6/3/2016 15:00,510
6/3/2016 16:00,520
6/3/2016 17:00,540
6/3/2016 18:00,560
6/3/2016 19:00,570
6/3/2016 20:00,600
6/3/2016 21:00,680
6/3/2016 22:00,800
6/3/2016 23:00,890
6/4/2016 0:00,880
6/4/2016 1:00,790
6/4/2016 2:00,730
6/4/2016 3:00,610
6/4/2016 4:00,430
6/4/2016 5:00,240
6/4/2016 6:00,130
6/4/2016 7:00,70
6/4/2016 8:00,50
6/4/2016 9:00,60
6/4/2016 10:00,100
6/4/2016 11:00,190
6/4/2016 12:00,290
6/4/2016 13:00,390
6/4/2016 14:00,460
6/4/2016 15:00,500
6/4/2016 16:00,520
6/4/2016 17:00,540
6/4/2016 18:00,550
6/4/2016 19:00,550
6/4/2016 20:00,590
6/4/2016 21:00,650
6/4/2016 22:00,780
6/4/2016 23:00,850
6/5/2016 0:00,850
6/5/2016 1:00,810
6/5/2016 2:00,740
6/5/2016 3:00,620
6/5/2016 4:00,450
6/5/2016 5:00,280
6/5/2016 6:00,150
6/5/2016 7:00,90
6/5/2016 8:00,60
6/5/2016 9:00,50
6/5/2016 10:00,70
6/5/2016 11:00,130
6/5/2016 12:00,230
6/5/2016 13:00,310
6/5/2016 14:00,380
6/5/2016 15:00,430
6/5/2016 16:00,450
6/5/2016 17:00,470
6/5/2016 18:00,490
6/5/2016 19:00,500
6/5/2016 20:00,530
6/5/2016 21:00,650
6/5/2016 22:00,830
6/5/2016 23:00,960
6/6/2016 0:00,900
6/6/2016 1:00,840
6/6/2016 2:00,760
6/6/2016 3:00,590
6/6/2016 4:00,380
6/6/2016 5:00,200
6/6/2016 6:00,100
6/6/2016 7:00,60
6/6/2016 8:00,40
6/6/2016 9:00,60
6/6/2016 10:00,110
6/6/2016 11:00,220
6/6/2016 12:00,340
6/6/2016 13:00,410
6/6/2016 14:00,480
6/6/2016 15:00,530
6/6/2016 16:00,550
